"id","winner","rated","victory_status_class","base_time","add_time","total_time","white_rating","black_rating","rating_dif_abs","rating_dif_class","opening_class","opening_eco_mod","opening_ply"
"3jBatLO6","black",1,0,5,5,7,1015,2305,1290,-1,1,109,11
"HlwkqfH2","white",1,0,10,0,10,972,1484,512,-1,1,123,3
"itLTZ0AT","white",1,1,10,0,10,928,1442,514,-1,2,201,5
"uOHTBAzi","white",1,0,10,0,10,884,1415,531,-1,1,100,2
"Prg9C0BE","black",1,1,10,0,10,1187,845,342,1,1,120,3
"516BT5yk","black",1,0,10,0,10,1450,789,661,1,1,121,3
"XJoTQFBp","black",1,0,10,0,10,784,1006,222,-1,2,220,2
"DFhHkmdh","white",1,0,10,0,10,827,806,21,1,1,101,2
"EWdOWrp4","white",1,0,10,0,10,1025,818,207,1,1,101,2
"huIqSncW","white",1,0,10,0,10,1027,831,196,1,1,101,2
"0p0uuHOx","black",1,0,15,0,15,837,1216,379,-1,2,220,2
"Qh1QZl9s","black",1,0,15,0,15,844,1214,370,-1,2,220,2
"IPqIOqAm","black",0,0,15,0,15,844,1500,656,-1,2,220,2
"ZJ0P8rbJ","white",0,0,15,0,15,1500,844,656,1,1,101,2
"K0508Ju2","black",0,0,15,0,15,844,1500,656,-1,2,220,2
"SOv7bjke","white",1,0,5,8,5,1454,845,609,1,1,101,2
"tHoZXx2x","white",0,0,10,0,10,1500,845,655,1,1,101,2
"51KzFMkU","black",1,0,10,0,10,856,1121,265,-1,1,102,2
"ZJGXmSUw","black",1,0,10,0,10,889,850,39,1,2,220,2
"EtSMEwpG","white",1,0,10,0,10,833,930,97,-1,0,40,2
"djFvoMLe","white",1,0,10,0,10,955,965,10,0,1,101,2
"ejCf0dbV","black",1,0,10,0,10,1004,999,5,0,1,120,2
"eibsMAQI","black",1,0,10,0,10,1042,1083,41,-1,2,220,2
"kgOcPDZ0","white",1,0,10,0,10,1245,1069,176,1,1,120,2
"EgSuznE2","white",1,0,10,0,10,1121,1123,2,0,1,120,3
"jfklAxK6","white",1,0,10,0,10,1184,1187,3,0,2,200,3
"Uf2JBDvR","black",1,0,10,0,10,1253,1300,47,-1,2,220,2
"W9qwQpJH","white",1,0,15,0,15,1418,1271,147,1,2,240,3
"yr9cSh61","white",1,0,3,9,3,1405,1500,95,-1,3,302,3
"Iu8FaCbC","white",1,0,10,0,10,1508,1443,65,1,3,300,3
"kKhmGgkh","white",1,1,10,0,10,1158,1155,3,0,2,241,7
"RL9ZdQO3","white",0,0,10,1,10,1158,1324,166,-1,2,245,8
"CIUu7318","black",0,0,0,180,93,1158,1324,166,-1,2,245,8
"7SDFM8wY","white",0,0,0,180,21,1324,1158,166,1,2,242,5
"KBG3ijIf","black",0,0,0,180,18,1158,1324,166,-1,2,244,5
"XedVZ3HB","black",1,0,10,0,10,1101,1148,47,-1,2,222,7
"GSeyt4C8","black",1,0,10,0,10,1159,1165,6,0,1,157,8
"GEZZDaWj","black",1,0,10,0,10,1166,1295,129,-1,2,241,8
"m5AyQ1qS","white",1,0,10,0,10,1500,1168,332,1,2,226,4
"h1EtGGgN","white",1,0,10,0,10,1157,1156,1,0,1,100,4
