"id","winner","base_time","add_time","total_time","game_class","opening_class","opening_eco_mod","rating_dif","same_elo_band_flag","same_elo_step_flag","white_elo_band","white_castle_turn_limited","white_castle_before_five","white_castle_before_ten","white_castle_before_fifteen","white_checks_limited_count","white_checks_before_five","white_checks_before_ten","white_checks_before_fifteen","white_loss_before_five","white_loss_before_ten","white_loss_before_fifteen","black_elo_band","black_castle_turn_limited","black_castle_before_five","black_castle_before_ten","black_castle_before_fifteen","black_checks_before_five","black_checks_before_ten","black_checks_before_fifteen","black_checks_limited_count","black_loss_before_five","black_loss_before_ten","black_loss_before_fifteen","player_as_white_fav_opening_class","player_as_white_fav_opening_eco","player_white_total_games_count","player_black_total_games_count"
"Qb0cJ4h1","white",8,0,8,1,2,240,-89,1,1,2,5,1,1,1,1,0,1,1,0,0,3,2,6,0,1,1,0,0,0,0,0,0,2,"C","C41",28,9
"gg5qpgov","white",8,0,8,1,0,40,72,1,1,2,7,0,1,1,0,0,0,0,1,3,5,2,12,0,0,1,0,0,0,0,0,2,5,"A","A00",9,28
"jE8qRfOQ","black",30,10,43,2,4,490,-573,0,0,2,9,0,1,1,0,0,0,0,0,1,3,5,5,1,1,1,0,0,0,0,0,1,3,"E","E90",1,4
"8TXODbts","black",10,0,10,1,1,182,-577,0,0,2,NA,0,0,0,0,0,0,0,1,3,4,5,13,0,0,1,0,0,0,0,1,2,3,"B","B82",2,4
"QJVU7Kcg","white",10,0,10,1,2,269,573,0,0,5,5,1,1,1,0,0,0,0,1,3,4,2,0,0,0,0,0,0,0,0,1,3,4,"C","C69",4,2
"7hit8cPS","black",10,15,25,1,0,18,53,1,1,5,0,0,0,0,3,0,1,1,1,3,4,5,0,0,0,0,0,0,1,1,1,3,3,"A","A18",4,6
"XVbvDgrS","white",15,3,18,2,0,80,-117,0,1,4,15,0,0,1,0,0,0,0,0,0,1,5,10,0,1,1,0,0,0,0,0,0,0,"A","A80",1,4
"UM1nnT09","white",10,15,24,1,0,18,178,0,1,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,"A","A18",4,6
"yJA7BcWS","black",15,0,15,2,2,200,-235,0,0,3,11,0,0,1,0,0,0,0,1,2,3,5,6,0,1,1,0,1,1,1,1,2,2,"E","C00",5,5
"XajnTMHg","black",10,0,10,1,4,477,-222,0,0,3,0,0,0,0,0,0,0,0,0,1,4,5,15,0,0,1,0,0,1,2,0,0,2,"E","C00",5,5
"N9q5r2gD","black",10,0,10,1,4,461,-222,0,0,3,NA,0,0,0,0,0,0,0,0,2,4,5,4,1,1,1,0,0,0,0,0,2,4,"E","C00",5,5
"VjrTwpKb","white",10,0,10,1,0,40,222,0,0,5,9,0,1,1,0,0,0,0,0,2,5,3,5,1,1,1,0,0,0,0,0,2,4,"B","B33",5,5
"ExKINFtZ","black",15,0,15,2,1,101,-48,0,1,3,7,0,1,1,0,0,0,0,1,1,1,4,7,0,1,1,0,0,0,0,1,1,1,"B","B01",1,37
"2X95HfiC","white",15,15,27,2,2,270,-17,1,1,2,8,0,1,1,0,0,0,0,0,1,3,2,NA,0,0,0,0,0,0,0,0,1,1,"C","C70",6,1
"S9SV1nuZ","white",10,0,10,1,1,107,6,1,1,2,0,0,0,0,5,1,1,1,2,3,3,2,0,0,0,0,0,0,0,0,2,4,5,"B","B07",1,6
"45MwnW73","white",15,15,27,2,2,240,39,0,1,2,14,0,0,1,0,0,0,0,2,3,3,1,8,0,1,1,0,0,1,1,2,4,6,"C","C70",6,1
"VCcAlfky","white",15,15,29,2,2,250,-13,1,1,2,7,0,1,1,0,0,0,0,0,0,3,2,6,0,1,1,0,0,0,0,0,0,4,"C","C50",1,6
"FDq2XLJ8","black",10,0,10,1,2,220,-29,0,1,1,10,0,1,1,1,0,1,1,0,2,3,2,7,0,1,1,0,0,0,0,0,2,3,"C","C20",1,6
"RVnyARBM","black",9,5,12,1,4,461,-101,1,1,2,0,0,0,0,1,0,0,1,0,1,3,2,5,1,1,1,0,0,0,0,0,1,3,"A","A45",9,29
"simZwI6Z","white",9,5,16,1,3,300,84,1,1,2,11,0,0,1,0,0,0,0,1,2,3,2,13,0,0,1,0,0,0,0,0,2,4,"A","D00",29,9
"hRp1LhQE","white",9,5,18,1,3,300,-393,0,0,2,9,0,1,1,1,0,1,1,0,2,2,4,0,0,0,0,0,0,0,0,0,2,2,"A","D00",29,2
"QiW7kLYI","black",9,5,16,1,0,45,-46,1,1,2,10,0,1,1,0,0,0,0,0,1,4,2,5,1,1,1,0,0,1,1,0,1,5,"A","A45",9,29
"ceAoXQxx","black",9,5,12,1,0,45,-27,1,1,2,NA,0,0,0,1,0,1,1,0,1,4,2,5,1,1,1,0,0,0,0,0,1,2,"A","A45",9,29
"49mBDfCm","white",7,3,10,1,0,0,-54,1,1,2,0,0,0,0,0,0,0,0,0,1,2,2,5,1,1,1,0,0,1,2,0,1,2,"A","A45",9,29
"2hqduMgW","black",7,3,10,1,1,112,-34,1,1,2,12,0,0,1,0,0,0,0,0,3,5,2,NA,0,0,0,0,1,1,2,0,1,2,"A","A45",9,29
"umT8EIXw","black",7,3,11,1,0,45,-12,1,1,2,12,0,0,1,0,0,0,0,0,2,4,2,5,1,1,1,0,0,0,0,0,2,3,"A","A45",9,29
"KiVBdTMX","black",15,5,19,2,0,40,-258,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,5,1,1,1,1,1,1,2,0,1,3,"A","D00",29,1
"8MMJa6c4","white",5,20,41,1,1,110,28,1,1,2,12,0,0,1,1,0,1,1,1,3,5,2,0,0,0,0,0,0,0,0,1,3,4,"B","B10",1,29
"ERNIhSWk","black",10,1,11,1,0,40,-227,0,0,2,NA,0,0,0,0,0,0,0,0,1,3,3,10,0,1,1,0,1,1,2,0,1,3,"A","D00",29,1
"1MXraiz9","black",30,0,30,2,1,112,-5,1,1,2,14,0,0,1,1,0,0,1,0,2,4,2,0,0,0,0,0,0,0,0,0,1,3,"B","B12",1,29
"h3c46AVo","black",15,5,19,2,0,4,-59,1,1,2,11,0,0,1,0,0,0,0,0,0,2,2,5,1,1,1,0,0,0,0,0,0,1,"A","A04",1,29
"Gxut53XS","black",5,17,16,1,0,45,-301,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,11,0,0,1,0,0,0,0,0,1,1,"A","D00",29,1
"icvgFxWE","white",10,0,10,1,1,112,353,0,0,4,6,0,1,1,1,0,1,1,0,2,3,2,9,0,1,1,0,0,0,0,0,2,3,"B","B12",1,29
"Hrr5rNlR","white",8,0,8,1,0,40,29,1,1,2,15,0,0,1,0,0,0,0,1,3,5,2,15,0,0,1,0,0,1,1,1,4,6,"A","D00",29,2
"qSFKYq5J","black",8,0,8,1,0,40,35,1,1,2,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,1,"A","D00",29,2
