"id","winner","base_time","add_time","total_time","game_class","opening_class","opening_eco_mod","rating_dif","same_elo_band_flag","same_elo_step_flag","white_elo_band","white_castle_turn_limited","white_castle_before_five","white_castle_before_ten","white_castle_before_fifteen","white_checks_limited_count","white_checks_before_five","white_checks_before_ten","white_checks_before_fifteen","white_loss_before_five","white_loss_before_ten","white_loss_before_fifteen","black_elo_band","black_castle_turn_limited","black_castle_before_five","black_castle_before_ten","black_castle_before_fifteen","black_checks_before_five","black_checks_before_ten","black_checks_before_fifteen","black_checks_limited_count","black_loss_before_five","black_loss_before_ten","black_loss_before_fifteen","player_as_white_fav_opening_class","player_as_white_fav_opening_eco","player_white_total_games_count","player_black_total_games_count"
"mIICvQHh","white",5,10,15,1,2,220,-4,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,7,"C","C20",1,3
"kWKvrqYL","white",20,0,20,2,3,302,-15,1,1,2,7,0,1,1,3,0,0,1,0,1,2,2,7,0,1,1,0,0,0,0,0,0,2,"D","D02",2,2
"9tXo1AUZ","white",30,3,35,2,2,241,54,1,1,2,12,0,0,1,0,0,0,0,0,1,3,2,8,0,1,1,0,0,0,0,0,1,3,"C","C41",2,2
"qwU9rasv","white",10,0,10,1,3,300,97,1,1,2,8,0,1,1,1,0,0,1,2,5,5,2,0,0,0,0,0,1,1,2,1,2,4,"D","D00",1,8
"dwF3DJHO","black",15,0,15,2,2,250,47,0,1,2,13,0,0,1,0,0,0,0,1,2,2,1,7,0,1,1,1,1,1,1,1,2,2,"C","C50",1,8
"afoMwnLg","white",10,0,10,1,1,101,172,1,1,1,0,0,0,0,1,0,0,1,1,3,5,1,0,0,0,0,1,1,1,2,1,2,4,"C","C00",8,3
"HgKLWPsz","white",20,60,59,2,0,0,109,1,1,1,9,0,1,1,0,0,0,0,0,1,2,1,11,0,0,1,0,0,0,0,0,1,2,"C","C00",8,1
"Vf5fKWzI","black",20,60,58,2,2,202,-486,0,0,1,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,1,2,0,1,3,"C","C00",8,1
"HRti5mKv","black",5,40,45,1,2,200,-555,0,0,1,9,0,1,1,1,1,1,1,1,2,2,4,6,0,1,1,0,0,0,0,1,1,1,"C","C00",8,27
"guanvMR5","black",15,15,26,2,2,257,47,1,1,0,5,1,1,1,0,0,0,0,1,1,2,0,10,0,1,1,0,0,0,0,0,1,2,"C","C50",6,40
"PmpkWkmm","black",15,15,28,2,2,250,-47,1,1,0,5,1,1,1,0,0,0,0,0,0,2,0,5,1,1,1,0,0,0,0,0,0,2,"C","C50",40,6
"EwaK0IsE","black",15,16,33,2,2,250,47,1,1,0,5,1,1,1,0,0,0,0,0,0,2,0,5,1,1,1,0,0,1,2,0,1,2,"C","C50",6,40
"yrSDozT3","black",15,15,40,2,2,241,-206,0,0,0,6,0,1,1,1,0,1,1,1,3,3,1,NA,0,0,0,0,0,0,0,1,2,4,"C","C50",40,1
"UhXXBOMY","white",10,0,10,1,0,25,201,0,0,1,15,0,0,1,1,0,0,1,0,1,2,0,8,0,1,1,0,0,0,0,0,1,4,"A","A25",3,40
"ifUMWtVj","white",10,10,22,1,3,301,-141,0,1,0,11,0,0,1,1,0,1,1,0,2,2,1,8,0,1,1,0,0,0,0,0,2,3,"C","C50",40,6
"Wf0zuLQQ","white",10,10,17,1,2,245,746,0,0,4,11,0,0,1,3,0,1,1,2,4,5,0,0,0,0,0,0,0,0,0,0,4,5,"C","C45",1,40
"srz9QfSN","black",10,10,19,1,3,301,290,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,1,2,0,1,1,"D","D01",1,40
"NS6ccssb","black",10,10,19,1,3,310,-100,1,1,0,12,0,0,1,0,0,0,0,1,3,3,0,9,0,1,1,0,0,0,0,1,3,4,"C","C50",40,2
"M3vpf2Ki","black",10,10,21,1,3,306,-71,1,1,0,12,0,0,1,1,0,1,1,0,2,3,0,11,0,0,1,0,0,0,0,0,2,3,"C","C50",40,1
"fXhNOnOn","black",10,10,21,1,1,121,322,0,0,1,8,0,1,1,0,0,0,0,1,2,5,0,7,0,1,1,0,0,0,0,1,2,5,"B","B21",2,40
"DiCTkvZH","black",10,10,21,1,1,152,198,1,1,0,5,1,1,1,2,1,1,1,1,3,4,0,8,0,1,1,0,0,0,0,1,2,3,"B","B52",1,40
"FSkgvV2E","white",10,10,19,1,1,127,184,0,1,1,7,0,1,1,0,0,0,0,2,2,4,0,10,0,1,1,1,1,1,2,1,2,4,"B","B27",1,40
"Yg006qwa","white",15,0,15,2,1,177,522,0,0,2,10,0,1,1,0,0,0,0,1,1,3,0,7,0,1,1,0,0,0,0,1,1,3,"B","B77",4,40
"G5S21pXK","white",30,30,47,2,0,21,1471,0,0,6,8,0,1,1,0,0,0,0,0,1,5,0,9,0,1,1,0,0,0,0,0,2,5,"A","A21",12,40
"r4LcBZA7","black",5,5,11,1,1,123,263,0,0,1,13,0,0,1,2,0,1,1,1,4,6,0,NA,0,0,0,0,1,1,1,0,3,4,"B","B23",1,40
"oqoT4DLS","white",40,40,84,3,1,176,1465,0,0,6,9,0,1,1,0,0,0,0,1,2,4,0,7,0,1,1,0,0,0,0,1,2,5,"A","A21",12,40
"eSociDPG","white",20,0,20,2,1,121,522,0,0,2,NA,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,1,1,1,2,1,2,4,"B","B21",1,40
"mpzYDfIK","white",15,0,15,2,1,120,522,0,0,2,6,0,1,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,1,1,0,1,5,"B","B20",2,40
"tLnhk43J","white",40,40,63,3,1,177,1458,0,0,6,15,0,0,1,1,0,0,1,1,2,4,0,7,0,1,1,0,0,0,0,1,2,4,"A","A21",12,40
"iq3Kz06t","white",40,40,67,3,1,101,1458,0,0,6,12,0,0,1,0,0,0,0,1,3,5,0,0,0,0,0,1,1,1,1,1,3,5,"A","A21",12,40
"KYPdQv8e","white",10,0,10,1,0,80,-522,0,0,0,0,0,0,0,2,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,3,"C","C50",40,3
"p30PeXvE","black",10,0,10,1,0,20,522,0,0,2,0,0,0,0,1,0,0,1,1,3,5,0,0,0,0,0,0,1,1,2,1,3,4,"C","C21",3,40
"i2GBGO0R","black",10,0,10,1,2,244,163,0,1,2,12,0,0,1,0,0,0,0,0,3,3,1,14,0,0,1,1,1,1,1,0,2,2,"C","C44",4,1
"9tU9MM6P","black",8,10,14,1,2,200,-372,0,0,1,11,0,0,1,1,0,1,1,1,4,6,2,11,0,0,1,1,1,1,3,1,3,5,"C","C00",2,38
"ztpC1S2c","white",8,12,18,1,0,40,-6,1,1,2,0,0,0,0,1,0,1,1,0,1,3,2,7,0,1,1,0,0,1,2,0,0,2,"D","D00",38,3
"qc8aH5XL","black",8,12,14,1,0,40,-27,0,1,2,0,0,0,0,1,0,0,1,1,3,3,3,0,0,0,0,1,1,1,1,1,2,2,"D","D00",38,1
"XuyVUkDi","black",5,10,12,1,2,200,50,0,1,3,7,0,1,1,0,0,0,0,1,2,2,2,11,0,0,1,1,1,1,1,1,3,3,"C","C00",1,38
"D5Oa4vGO","white",7,12,15,1,0,4,181,0,1,3,4,1,1,1,0,0,0,0,0,1,6,2,0,0,0,0,0,0,1,2,0,1,3,"A","A04",1,38
"6QAiH2Yy","white",15,10,24,2,0,45,-35,1,1,2,14,0,0,1,1,0,0,1,1,2,3,2,14,0,0,1,0,0,0,0,1,2,3,"D","D00",38,1
"l7top9ps","black",5,40,57,1,2,200,-54,1,1,2,14,0,0,1,0,0,0,0,1,3,3,2,11,0,0,1,0,0,0,0,1,2,3,"C","C00",1,38
"nG3Of11I","white",15,5,20,2,3,300,83,1,1,2,13,0,0,1,0,0,0,0,0,2,2,2,14,0,0,1,0,0,0,0,0,3,4,"D","D00",38,1
"cUzM68JF","black",20,5,24,2,3,300,228,0,0,2,10,0,1,1,0,0,0,0,0,0,2,1,10,0,1,1,0,0,0,0,0,0,2,"D","D00",38,1
"NZSBXWl2","black",20,5,25,2,0,41,109,1,1,2,10,0,1,1,1,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,1,4,"D","D00",38,1
"DHuXFP6C","white",20,5,27,2,0,45,27,0,1,3,11,0,0,1,0,0,0,0,0,1,2,2,5,1,1,1,0,0,0,0,0,1,2,"A","A45",1,38
"00R4UOcU","black",20,5,24,2,2,202,-381,0,0,1,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,1,3,1,1,2,"C","C02",1,38
"IN15cBnB","black",15,5,20,2,3,300,48,1,1,2,0,0,0,0,0,0,0,0,0,2,3,2,10,0,1,1,0,1,1,1,0,2,4,"D","D00",38,3
"WYOts2ME","white",15,5,18,2,2,201,256,0,0,4,7,0,1,1,0,0,0,0,1,1,5,2,6,0,1,1,0,0,1,1,1,1,5,"C","C01",1,38
"oWFQ8mnz","white",15,5,19,2,0,40,42,1,1,2,11,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,"D","D00",38,2
"i2I8y9Xh","white",30,0,30,2,3,302,-157,0,1,2,NA,0,0,0,0,0,0,0,1,3,4,3,14,0,0,1,0,0,1,2,0,3,4,"D","D00",38,2
"osPCRdxJ","white",30,0,30,2,2,200,141,0,1,3,6,0,1,1,0,0,0,0,0,0,1,2,7,0,1,1,0,0,0,0,0,0,1,"C","C00",2,38
"Mi1AmkiI","black",15,5,19,2,3,302,-526,0,0,2,0,0,0,0,0,0,0,0,0,1,2,5,5,1,1,1,0,0,0,0,0,1,2,"D","D00",38,1
"7kK30TmL","black",15,5,20,2,2,200,208,0,0,3,13,0,0,1,1,0,0,1,0,2,4,2,NA,0,0,0,0,1,1,1,0,1,4,"C","C00",1,38
"ThCXomTn","white",15,5,20,2,3,300,116,1,1,2,8,0,1,1,0,0,0,0,1,1,3,2,6,0,1,1,0,0,0,0,0,1,3,"D","D00",38,1
"4dH72B3d","white",15,5,20,2,3,302,-131,0,1,2,0,0,0,0,0,0,0,0,0,0,2,3,9,0,1,1,0,0,0,0,0,0,1,"D","D00",38,1
"4jRtIZTy","white",15,5,19,2,0,10,-28,1,1,2,10,0,1,1,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,2,3,"A","A10",1,38
"wNK2HdLb","black",15,5,20,2,0,0,-294,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,12,0,0,1,0,0,0,0,0,1,1,"A","A00",1,38
"d62Tg4dc","white",15,5,21,2,3,300,129,1,1,2,10,0,1,1,1,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,"D","D00",38,2
"TaSQfvww","white",15,5,24,2,0,40,10,1,1,2,9,0,1,1,0,0,0,0,1,2,3,2,13,0,0,1,0,0,0,0,0,2,3,"D","D00",38,1
"Xwpzq87m","white",15,5,18,2,2,218,70,0,1,3,0,0,0,0,0,0,0,0,1,2,5,2,10,0,1,1,1,1,1,1,0,2,4,"C","C18",2,38
"MfNml1rl","black",30,0,30,2,3,300,17,1,1,2,0,0,0,0,0,0,0,0,1,2,3,2,NA,0,0,0,0,0,0,0,0,2,3,"D","D00",38,1
"mEAvshF2","black",20,10,26,2,2,200,-139,1,1,2,6,0,1,1,0,0,0,0,1,3,3,2,7,0,1,1,0,0,0,0,1,2,2,"C","C00",2,38
"ySsVdRfw","white",20,10,28,2,3,302,121,1,1,2,NA,0,0,0,1,0,0,1,0,1,2,2,9,0,1,1,0,0,0,0,0,1,4,"D","D00",38,2
"ylLqmXwb","white",20,10,32,2,2,200,53,0,1,3,11,0,0,1,4,1,1,1,1,2,4,2,0,0,0,0,0,0,0,0,1,2,3,"C","C00",1,38
"YmJpuJkM","black",20,10,30,2,3,302,-331,0,0,2,0,0,0,0,2,0,1,1,1,2,2,4,13,0,0,1,0,0,0,0,0,2,2,"D","D00",38,1
"PNNfempy","black",20,10,30,2,0,47,-401,0,0,0,14,0,0,1,0,0,0,0,0,3,4,2,14,0,0,1,0,0,1,1,0,2,2,"A","A47",1,38
"TVfozmF5","white",20,10,34,2,0,40,-271,0,0,2,0,0,0,0,2,0,1,1,1,2,3,3,NA,0,0,0,0,0,0,0,0,2,2,"D","D00",38,1
"4LX77G3m","white",20,10,26,2,3,302,56,1,1,2,0,0,0,0,0,0,0,0,1,2,2,2,13,0,0,1,0,0,0,0,0,2,2,"D","D00",38,2
"OIyTAHCP","white",15,0,15,2,3,306,-14,1,1,3,10,0,1,1,0,0,0,0,1,3,5,3,NA,0,0,0,0,0,0,0,0,2,3,"D","D06",14,1
"bnCnIJSz","white",10,0,10,1,2,210,203,0,0,4,7,0,1,1,0,0,0,0,1,2,4,3,8,0,1,1,0,0,0,0,1,3,4,"C","C10",1,14
"ZzWyY1f8","white",10,0,10,1,2,245,-131,0,1,3,9,0,1,1,0,0,0,0,1,1,3,4,9,0,1,1,0,0,0,0,1,1,2,"D","D06",14,1
"mkKSL3Ev","white",10,0,10,1,2,202,222,0,0,4,8,0,1,1,0,0,0,0,0,1,2,3,14,0,0,1,0,0,0,0,0,1,2,"C","C02",2,14
"aVwWNjNR","white",10,0,10,1,2,241,338,0,0,3,11,0,0,1,1,1,1,1,2,3,3,1,0,0,0,0,0,0,0,0,2,3,3,"D","D06",14,2
"DNUmSBH4","black",10,0,10,1,3,380,-71,0,1,3,0,0,0,0,0,0,0,0,0,1,4,4,5,1,1,1,0,0,0,0,0,1,4,"D","D06",14,4
"Tlng5eqN","black",10,0,10,1,2,200,-131,0,1,2,10,0,1,1,0,0,0,0,1,2,3,3,9,0,1,1,0,0,0,0,1,1,2,"C","C00",1,14
"wljkejE0","white",10,0,10,1,2,210,5,1,1,3,7,0,1,1,1,0,1,1,1,3,4,3,0,0,0,0,0,0,0,0,1,2,5,"C","C10",2,14
"iNZuj8bY","white",10,0,10,1,3,330,-29,1,1,3,9,0,1,1,0,0,0,0,0,1,1,3,8,0,1,1,0,0,0,0,0,1,1,"D","D30",1,14
"Kan2JKOp","white",10,0,10,1,3,320,259,0,0,3,6,0,1,1,0,0,0,0,1,1,2,2,9,0,1,1,0,0,0,0,1,1,2,"D","D06",14,2
"bCUwPEJ7","black",10,0,10,1,2,202,9,1,1,3,13,0,0,1,0,0,0,0,0,4,4,3,13,0,0,1,0,1,1,3,0,3,3,"C","C02",1,14
"z1LTn4pe","black",5,8,10,1,0,46,35,1,1,3,NA,0,0,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,1,2,0,2,4,"D","D02",10,1
"7NKtCk3B","white",15,0,15,2,3,331,-66,1,1,3,12,0,0,1,0,0,0,0,1,2,3,3,8,0,1,1,0,0,0,0,0,2,3,"D","D31",1,10
"TMtvbg3w","black",10,0,10,1,2,264,11,1,1,3,7,0,1,1,0,0,0,0,1,4,5,3,7,0,1,1,0,0,0,0,1,3,3,"C","C64",1,10
"0OXPfTEt","white",10,0,10,1,3,302,-102,0,1,3,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,1,0,0,5,"D","D02",10,2
"YzMf40DM","black",10,0,10,1,3,302,62,1,1,3,9,0,1,1,1,0,0,1,0,1,3,3,9,0,1,1,0,0,0,0,0,1,2,"D","D02",10,1
"q3NHAFFp","black",10,0,10,1,2,264,116,0,1,4,5,1,1,1,0,0,0,0,0,2,4,3,6,0,1,1,0,0,0,0,0,2,3,"C","C64",3,10
"Gz7Icasx","black",10,0,10,1,2,224,0,1,1,3,0,0,0,0,0,0,0,0,1,3,5,3,6,0,1,1,1,1,1,3,1,4,5,"C","C24",3,10
"3n4poRIX","white",8,0,8,1,0,43,-234,0,0,3,7,0,1,1,0,0,0,0,0,0,1,4,8,0,1,1,0,0,0,0,0,0,2,"D","D02",10,1
"XRuQPSzH","black",10,0,10,1,0,8,330,0,0,5,5,1,1,1,0,0,0,0,0,2,3,3,9,0,1,1,0,0,0,0,0,2,3,"A","A04",21,10
"XPZikam7","white",10,0,10,1,3,302,781,0,0,3,0,0,0,0,2,0,1,1,0,1,2,0,11,0,0,1,0,1,1,1,0,3,5,"D","D02",10,1
"WyQjriEX","black",15,15,44,2,1,103,149,1,1,1,0,0,0,0,1,0,1,1,0,1,4,1,NA,0,0,0,0,0,1,1,0,0,3,"B","B03",1,33
"vAOIY0jj","black",15,15,32,2,1,129,-70,1,1,1,NA,0,0,0,3,0,1,1,2,2,5,1,0,0,0,0,0,0,0,0,1,2,5,"C","C57",33,1
"dh2xQb3X","black",15,15,24,2,2,257,-121,1,1,1,0,0,0,0,1,0,1,1,1,2,4,1,0,0,0,0,0,0,1,1,1,3,4,"C","C57",33,1
"s752sCLr","black",15,15,30,2,2,257,39,1,1,1,NA,0,0,0,2,0,1,1,1,2,4,1,0,0,0,0,0,0,0,0,1,4,5,"C","C57",33,1
"lKYmVLZt","white",15,15,24,2,1,102,151,0,1,2,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,1,1,2,1,2,4,"B","B02",1,33
"7rbdtPwO","white",30,2,32,2,2,255,-32,1,1,1,8,0,1,1,3,0,1,1,1,4,5,1,0,0,0,0,0,0,1,1,1,4,4,"C","C57",33,1
"ahwTovI0","black",15,15,24,2,1,102,-38,1,1,1,14,0,0,1,1,0,1,1,0,0,1,1,13,0,0,1,0,0,0,0,0,0,2,"B","B02",1,33
"TRpFAEWd","white",15,15,27,2,1,157,-73,1,1,1,15,0,0,1,1,0,0,1,1,3,4,1,0,0,0,0,0,1,1,1,1,2,4,"C","C57",33,1
"btHFH9xr","white",15,15,36,2,0,20,43,1,1,1,8,0,1,1,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,1,1,4,"A","A20",1,33
"G9xaiPFl","white",15,15,25,2,1,100,-5,1,1,1,NA,0,0,0,0,0,0,0,3,3,4,1,0,0,0,0,0,1,1,2,1,2,3,"C","C57",33,1
"RkMlSx4r","black",15,15,30,2,4,420,102,1,1,1,13,0,0,1,0,0,0,0,0,3,4,1,4,1,1,1,0,0,0,0,0,4,5,"E","E20",1,33
"Z1CTghfR","white",15,15,39,2,2,257,34,0,1,1,10,0,1,1,3,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,1,4,4,"C","C57",33,1
"R6dF4yRx","white",15,15,39,2,3,306,11,1,1,1,11,0,0,1,1,0,0,1,1,2,4,1,NA,0,0,0,0,0,0,0,1,1,2,"D","D06",1,33
"3udM9T6k","white",10,0,10,1,4,411,325,0,0,2,9,0,1,1,0,0,0,0,1,3,4,1,5,1,1,1,1,1,1,3,1,2,3,"E","E11",2,33
"jrmlULM0","black",15,15,33,2,1,102,-9,1,1,1,10,0,1,1,0,0,0,0,2,2,5,1,NA,0,0,0,0,1,1,2,1,2,3,"B","B02",1,33
"JbLparSt","black",15,15,54,2,2,240,-252,0,0,1,13,0,0,1,1,0,1,1,2,3,4,2,14,0,0,1,1,1,1,2,1,3,4,"C","C57",33,4
"dZn9WLT5","white",10,2,13,1,2,211,-37,0,1,0,13,0,0,1,1,0,0,1,0,3,4,1,0,0,0,0,0,1,1,1,0,2,4,"C","C11",1,33
"MgL176RS","black",30,0,30,2,1,102,212,0,0,2,15,0,0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,1,4,"B","B02",1,33
"V16nc5AF","white",15,15,24,2,2,228,-37,0,1,0,10,0,1,1,0,0,0,0,2,3,5,1,15,0,0,1,0,0,0,0,0,3,4,"C","C28",1,33
"GT8TdRlm","white",15,15,36,2,1,106,0,1,1,1,15,0,0,1,1,0,0,1,1,2,3,1,0,0,0,0,0,1,1,3,1,1,4,"C","C57",33,1
"2P2u5f63","black",15,15,28,2,1,101,-115,1,1,1,0,0,0,0,0,0,0,0,2,4,6,1,NA,0,0,0,0,1,1,2,2,3,4,"C","C57",33,1
"15nlkNRf","white",10,10,28,1,0,46,3,1,1,4,8,0,1,1,0,0,0,0,0,0,2,4,9,0,1,1,0,0,0,0,0,0,4,"A","A46",1,38
"xwl41jna","white",7,2,9,1,1,130,0,1,1,4,5,1,1,1,1,0,0,1,0,1,2,4,11,0,0,1,0,1,1,1,0,1,2,"C","C55",38,1
"1zRjgcqm","white",15,0,15,2,0,56,-30,1,1,4,9,0,1,1,0,0,0,0,1,1,2,4,7,0,1,1,0,0,0,0,1,1,2,"A","A56",2,38
"vfnLULoh","white",15,0,15,2,1,127,-67,1,1,4,6,0,1,1,0,0,0,0,0,1,2,4,12,0,0,1,0,1,1,1,0,1,2,"C","C55",38,1
"ut6LIGPI","black",15,0,15,2,2,255,17,1,1,4,5,1,1,1,1,0,0,1,0,1,2,4,8,0,1,1,0,0,0,0,0,1,3,"C","C55",38,1
"1KbSJtjs","white",10,0,10,1,2,265,79,0,1,4,0,0,0,0,0,0,0,0,0,2,3,3,5,1,1,1,0,0,0,0,0,1,3,"C","C55",38,1
"cqrATt9o","white",10,0,10,1,1,190,48,1,1,4,12,0,0,1,0,0,0,0,1,1,4,4,11,0,0,1,0,0,0,0,1,1,3,"C","C55",50,38
"deKfSOPy","white",10,0,10,1,2,200,-39,1,1,4,0,0,0,0,1,0,0,1,1,2,3,4,7,0,1,1,0,1,1,1,1,2,4,"C","C55",38,1
"vQ1psjxd","black",15,5,21,2,1,150,20,1,1,4,9,0,1,1,0,0,0,0,0,0,2,4,9,0,1,1,0,0,0,0,0,0,2,"B","B50",2,38
"k1qV5HHz","white",25,25,39,2,1,151,-20,1,1,4,7,0,1,1,1,1,1,1,0,1,2,4,10,0,1,1,0,0,0,0,0,1,1,"B","B51",1,38
"QQ3iIM2V","white",8,0,8,1,4,400,-3,1,1,4,8,0,1,1,0,0,0,0,0,1,1,4,NA,0,0,0,0,0,0,0,0,1,1,"E","E00",1,38
"GppFo58m","white",10,10,20,1,2,270,-48,1,1,4,13,0,0,1,0,0,0,0,0,2,3,4,13,0,0,1,0,1,1,2,0,2,4,"C","C55",38,2
"BoDJGVyk","white",10,10,28,1,1,150,29,1,1,4,NA,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,"B","B50",2,38
"tqirXAEm","white",30,0,30,2,0,40,45,1,1,4,7,0,1,1,0,0,0,0,0,1,1,4,NA,0,0,0,0,0,0,0,0,1,1,"C","C55",38,1
"GLC4oNZR","black",20,5,23,2,1,111,-9,1,1,4,NA,0,0,0,3,0,1,1,0,3,5,4,0,0,0,0,0,0,0,0,0,2,6,"C","C55",38,1
"3eLsB99C","black",15,0,15,2,1,122,3,1,1,4,11,0,0,1,0,0,0,0,0,1,4,4,11,0,0,1,0,0,0,0,0,1,3,"B","B22",2,38
"M6zMVwqK","black",5,5,12,1,1,140,42,1,1,4,NA,0,0,0,0,0,0,0,0,0,1,4,15,0,0,1,0,0,0,0,0,1,3,"C","C55",38,1
"yrQWTJVz","black",15,0,15,2,2,200,40,1,1,4,7,0,1,1,0,0,0,0,1,1,3,4,6,0,1,1,0,0,0,0,1,1,3,"C","C55",38,1
"aF6DiZZe","black",10,0,10,1,0,45,5,1,1,4,0,0,0,0,0,0,0,0,0,0,2,4,9,0,1,1,0,0,1,1,0,0,1,"A","A45",1,38
"0dm3RaQv","white",10,0,10,1,1,150,36,1,1,4,11,0,0,1,0,0,0,0,0,1,3,4,7,0,1,1,0,0,0,0,0,1,3,"B","B50",3,38
"BxxAvvER","black",15,0,15,2,1,131,-99,1,1,4,4,1,1,1,0,0,0,0,0,2,4,4,6,0,1,1,0,0,0,0,0,2,4,"C","C55",38,1
"Hysqcekp","black",10,0,10,1,1,118,-31,1,1,4,10,0,1,1,1,0,0,1,1,2,3,4,12,0,0,1,0,0,0,0,1,2,3,"B","B18",1,38
"oaKcGCrO","black",15,0,15,2,2,261,17,1,1,4,12,0,0,1,4,0,1,1,1,2,4,4,0,0,0,0,0,0,0,0,1,3,5,"C","C55",38,1
"xMezmOBz","white",7,8,17,1,1,190,-25,1,1,4,9,0,1,1,1,0,0,1,1,1,3,4,10,0,1,1,0,0,0,0,1,1,3,"B","B90",1,38
"46AuHfcq","black",6,6,22,1,4,410,-30,1,1,4,8,0,1,1,2,0,1,1,1,2,6,4,NA,0,0,0,0,0,0,0,1,1,4,"E","E10",3,38
"SGqoxO3v","white",15,0,15,2,2,278,27,1,1,4,4,1,1,1,0,0,0,0,0,0,0,4,10,0,1,1,0,0,0,0,0,0,0,"C","C55",38,2
"pHJ5zXyE","white",10,0,10,1,2,270,-1,1,1,4,5,1,1,1,0,0,0,0,0,1,2,4,14,0,0,1,0,0,0,0,0,1,3,"C","C55",38,1
"WqMvA7iE","black",15,0,15,2,1,130,-1,1,1,4,8,0,1,1,1,0,0,1,0,1,2,4,11,0,0,1,0,0,0,0,0,1,3,"B","B30",1,38
"s3v6jMaX","white",15,5,20,2,1,110,1,1,1,4,8,0,1,1,0,0,0,0,0,1,3,4,15,0,0,1,0,0,0,0,0,1,2,"B","B10",2,38
"hl3zLZmV","black",10,0,10,1,3,306,-72,1,1,4,NA,0,0,0,1,0,1,1,0,2,3,4,NA,0,0,0,0,1,1,2,0,2,3,"C","C55",38,1
"NgZ8xxFe","black",10,0,10,1,1,130,24,1,1,4,NA,0,0,0,0,0,0,0,1,1,2,4,8,0,1,1,0,0,0,0,1,1,2,"B","B30",2,38
"1ZeBVc5V","black",10,0,10,1,2,241,-23,1,1,4,0,0,0,0,1,0,1,1,0,4,6,4,0,0,0,0,0,0,0,0,0,3,6,"C","C55",38,1
"OmwDxZpJ","black",16,0,16,2,1,122,7,1,1,4,8,0,1,1,1,0,1,1,1,2,3,4,14,0,0,1,0,0,0,0,1,2,4,"B","B22",1,38
"JewxmuG9","black",15,0,15,2,1,120,-26,0,1,3,NA,0,0,0,1,0,1,1,0,1,2,4,NA,0,0,0,0,0,0,0,0,1,1,"B","B20",1,38
"0gTDO6Av","black",8,0,8,1,1,130,16,1,1,1,0,0,0,0,1,1,1,1,1,4,6,1,0,0,0,0,0,0,0,0,1,5,7,"C","C41",49,2
"t7vvcwqO","black",10,4,16,1,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,6,0,1,1,0,0,1,2,0,1,2,"A","A00",1,49
"igSDFKv0","white",12,0,12,2,3,300,50,1,1,1,0,0,0,0,0,0,0,0,0,1,3,1,7,0,1,1,0,0,0,0,0,0,2,"D","D00",1,49
"facMwkUo","white",10,0,10,1,0,0,12,1,1,1,0,0,0,0,0,0,0,0,1,2,3,1,8,0,1,1,0,0,0,0,0,2,4,"A","A00",2,49
"nyYULwUl","white",10,0,10,1,2,222,-9,1,1,1,NA,0,0,0,0,0,0,0,1,1,4,1,9,0,1,1,0,0,1,2,1,1,3,"C","C22",1,49
"o4T7dj5h","black",30,0,30,2,2,250,-337,0,0,0,5,1,1,1,0,0,0,0,0,0,1,1,5,1,1,1,0,0,0,0,0,0,1,"C","C50",1,49
"VgNt0SSX","black",15,15,24,2,2,241,-173,0,1,1,6,0,1,1,1,0,1,1,1,3,5,2,12,0,0,1,0,0,1,1,1,4,5,"C","C41",49,1
"UvqLtnPM","white",7,2,9,1,2,268,201,0,0,2,8,0,1,1,0,0,0,0,1,2,4,1,13,0,0,1,0,0,0,0,2,2,4,"C","C68",1,49
"1b0kpInt","white",7,2,11,1,1,112,56,1,1,1,12,0,0,1,0,0,0,0,1,1,3,1,NA,0,0,0,0,0,0,0,1,1,3,"C","C41",49,3
"ZPHBiKBY","white",7,2,10,1,2,222,142,0,1,2,NA,0,0,0,2,0,0,1,1,2,3,1,0,0,0,0,0,0,0,0,1,3,6,"C","C22",2,49
"DijZlfMy","white",7,2,8,1,2,241,-22,1,1,1,13,0,0,1,1,0,1,1,0,2,5,1,0,0,0,0,0,0,0,0,0,3,5,"C","C41",49,1
